,company_name,company_url
15799,BlackBerry,https://www.blackberry.com
15800,Fluxon,https://www.fluxon.com
15801,InVue,http://www.invue.com
15802,Finn AI,http://www.finn.ai
15803,Canadian Partnership Against Cancer,http://www.partnershipagainstcancer.ca/
15804,Slync.io,https://www.slync.io/
15805,Cysiv,http://www.cysiv.com/
15806,Synex Medical,https://www.synexmedical.com/
15807,MG Recruit,http://mgrecruit.co.uk
15808,Interaction Recruitment,http://www.interactionrecruitment.co.uk
15809,STOIX ,http://www.stoix.co.uk/
15810,Umberto Giannini Hair Cosmetics,http://www.umbertogiannini.com
15811,PRovoke Media,https://www.provokemedia.com
15812,City Investment Solutions,http://www.cityinvestmentsol.co.uk
15813,eClipssi,http://eclipssi.com
15814,Urban Synergy Mentoring,https://www.urbansynergy.com/
15815,Willow Resourcing Limited,http://www.willowresourcing.co.uk
15816,Avocet Wealth Partnership,http://www.avocetwealth.co.uk
15817,Servomex,http://www.servomex.com
15819,Jenrick Commercial,http://www.jenrickcommercial.co.uk
15820,Lawsons Network,https://lawsonsnetwork.com/
15821,Lloyd Barnes Accountancy Recruitment,http://www.lloyd-barnes.co.uk/
15822,Invenia Group,http://www.inveniagroup.com
15823,Titan FX,https://titanfx.com
15824,SSAIB,https://ssaib.org/
15825,Oracle Cancer Trust,http://www.oraclecancertrust.org
15826,Circle Square ,http://www.circlesquare.co.uk/
15827,TRS Staffing Solutions,https://www.trsstaffing.com/
15828,Nium,http://www.nium.com
15829,GameCoin Wire,http://www.gamecoinwire.com
15830,Snap Finance UK,http://snapfinance.co.uk/
15831,Expense Reduction Analysts - Latin America,http://www.expensereduction.com/
15832,Veldhoen + Company,http://www.veldhoencompany.com/
15833,America Mortgages,http://www.americamortgages.com/
15834,Horizon37 Ltd,http://www.horizon37.co.uk/
15835,FordeBaker,https://fordebaker.com
15836,Griffin,https://griffin.sh
15837,Voltz Labs,https://www.voltz.xyz/
15838,"ICAS World, a Lyra Health company",http://www.icasworld.com
15839,Eleven Writing,http://elevenwriting.com/
15840,AICPA,http://www.aicpa.org
15841,Thought Training for Success,https://www.karenguymer.com/linkedin/
15842,Yoti,http://www.yoti.com
15843,Magenta Research,http://magentaresearch.co.uk/
15844,Attivo Group,https://attivogroup.co.uk/
15845,Lion&Bear,http://www.lionandbear.co.uk
15846,Lucinity,http://www.lucinity.com
15847,Avvio,http://www.avvio.com/
15848,City Catering Southampton,http://www.citycateringsouthampton.co.uk
15849,Binbrek Consulting,http://www.binbrekconsulting.com
15850,Ideal Candidates Recruitment Ltd,http://www.idealcandidates.co.uk
15851,Incubate Consulting,http://www.incubateconsulting.co.uk/
15852,"Recruit 121 (Finance, Technology & Executive)",https://www.recruit121uk.com/
15853,Agenzia Recruitment,http://www.agenziarecruitment.co.uk/
15854,Lykke Business,https://www.lykke-business.ch/
15855,twenty84,http://www.twenty84.com
15856,Cactus Search - Customer Experience Recruitment Specialists,http://www.cactussearch.co.uk
15857,Integris,https://integrisit.com/
15858,Culture Recruitment Group,https://www.culturerecruitment.co.uk/
15859,UniHay,http://www.unihay.com
15860,V12 Vehicle Finance,http://www.v12vf.co.uk/
15861,excelerateds2p,http://www.excelerateds2p.com
15862,Octo Telematics,https://www.octotelematics.com
15863,SAP Fioneer ,https://sapfioneer.com/
15864,The Integrity Council for the Voluntary Carbon Market,https://www.icvcm.org/
15865,Brevere Group,http://www.brevere.com/
15866,mbf.,http://www.mbfitzgerald.co.uk
15867,Distinctly,https://distinctly.co
15868,Lively Worldwide,http://lively.agency/
15869,BeecherMadden - Part of the Nicoll Curtin Group,http://www.beechermadden.com
15870,pladis Global,http://www.pladisglobal.com
15871,BOSS Medical Science,http://boss-energy.co.uk/boss-medical/
15872,CSI Ltd (A CSI Group Company),https://www.csiltd.co.uk/
15873,Crowd with Us,https://www.crowdwithus.london/
15874,A.P. Moller - Maersk,http://www.maersk.com
15875,Randox,http://www.randox.com/
15876,Avado,http://www.avadolearning.com/?utm_source=linkedin&utm_medium=company_page
15877,CSafe Global,https://csafeglobal.com/
15878,Spontaneous Me,http://www.spontaneous.me.uk
15879,Namos Solutions,http://www.namossolutions.com
15880,Taulia Inc.,https://taulia.com
15881,SuperBike Factory Limited,https://www.superbikefactory.co.uk
15882,Transmit Security,https://www.transmitsecurity.com/?utm_source=social&utm_channel=linkedin&utm_medium=organicsocial&utm_campaign=linkedinmain
15883,Cirium,https://www.cirium.com/
15884,Xylem Water Solutions UK & Ireland,https://www.xylem.com/en-uk/
15885,ZFX,https://www.zfx.com/
15886,W1 Investment Group,http://www.w1investmentgroup.com
15887,Trustmarque,https://www.trustmarque.com
15888,wippd,https://www.eqwippd.com/
15889,Geek Retreat,http://geek-retreat.com
15890,Ocorian,https://www.ocorian.com
15891,ReachX ,https://www.reachx.co/
15892,AutoMoney Motor Finance,https://www.automoneymotorfinance.co.uk/
15893,PROFIT INSIGHT®,http://www.profitinsight.com
15894,Mad Rabbit,https://www.madrabbit.com
15895,Cardless,https://www.cardless.com/
15896,DAYDREAM STUDIOS ,http://daydreamdoesit.com
15897,Jack in the Box,http://www.jackinthebox.com
15898,Morph Enterprise LLC,https://www.morphenterprise.com
15899,Fintros,http://www.fintros.com/hire
15900,Master Plan Financial,https://impactyourfinances.wixsite.com/masterplan
15901,Forager Talent,https://www.foragertalent.com
15902,SuperAnnotate,http://superannotate.ai
15903,Prevedere,https://prevedere.com/?utm_source=linkedin&utm_medium=social&utm_campaign=brand_profile
15904,Path,http://pathmentalhealth.com
15905,Janover Ventures,https://www.janover.ventures
15906,"Universal Technical Institute, Inc.",https://www.uti.edu/careers
15907,Segrera Associates,http://www.segrera.com
15908,Verge Creative Group,http://www.vergecreativegroup.com/
15909,Sharper Shape Inc.,http://bit.ly/38CNT6m
15910,Murtech Consulting,http://www.murtechconsulting.com
15911,Virtual Financial,http://VFplatform.com/ceo
15912,W Energy Software,http://wenergysoftware.com
15913,DroneDeploy,http://www.dronedeploy.com
15914,Talent Tech Labs,http://www.talenttechlabs.com
15915,Javy Coffee,https://javycoffee.com
15916,InfoStride,http://www.infostride.com/
15917,Aderant,https://www.aderant.com/
15918,Golub & Company,http://www.golubandcompany.com
15919,Northbound Group,https://www.northboundgroup.com/
15920,Delphos,http://www.delphosinternational.com
15921,Transmit,https://transmit.live/
15922,University of Minnesota Physicians,http://www.umphysicians.org/
15923,Texas Water Development Board,http://www.twdb.texas.gov
15924,Vehlo,https://www.greatersumventures.com/
